runtime,variable_count,num_workers,hours_in_day,max_hours
0.0136730670929,32,3,1,1
0.104140043259,96,3,2,1
0.0219161510468,80,3,2,2
0.0210440158844,80,3,2,2
0.0127050876617,40,4,1,1
0.0153610706329,40,4,1,1
0.0530631542206,100,4,2,2
0.181311845779,120,4,2,1
0.307427883148,160,4,3,3
0.18223285675,100,4,2,2
0.517596006393,120,4,2,1
1.6308619976,288,5,4,3
0.420964002609,216,5,3,2
0.0495409965515,48,5,1,1
1.75344085693,288,5,4,3
0.0358619689941,120,5,2,2
0.024069070816,48,5,1,1
0.0271458625793,48,5,1,1
0.093710899353,192,5,3,3
0.459738969803,224,6,3,3
1.82898497581,252,6,3,2
2.90238189697,420,6,5,3
0.788703918457,252,6,3,1
0.37495803833,392,6,5,5
1.09549713135,336,6,4,2
0.069188117981,56,6,1,1
1.56039786339,252,6,3,1
0.18581199646,168,6,2,1
0.234274148941,168,6,2,1
1.44041204453,420,6,5,4
0.0865979194641,160,7,2,1
0.021301984787,64,7,1,1
0.142832994461,352,7,4,4
1.32690596581,288,7,3,2
0.0477650165558,160,7,2,2
87.3844320774,480,7,5,2
0.473176956177,256,7,3,3
0.0372660160065,64,7,1,1
12.9661369324,576,7,6,3
14.5876810551,480,7,5,2
0.0490939617157,64,7,1,1
0.308118104935,288,8,3,3
2.71854305267,720,8,7,6
0.354695081711,396,8,4,3
0.284806013107,288,8,3,2
0.107174873352,180,8,2,2
0.245267152786,396,8,4,4
0.0285668373108,72,8,1,1
1.33967494965,432,8,4,3
0.0304868221283,72,8,1,1
1.08801794052,680,9,6,5
0.26362490654,240,9,2,1
27.8270039558,720,9,6,2
0.204429149628,240,9,2,1
0.769394159317,680,9,6,6
0.83140206337,360,9,3,2
5.41193604469,360,9,3,1
31.6925158501,920,9,8,8
33.4412310123,840,9,7,5
1.70057892799,600,9,5,4
0.374772071838,560,9,5,5
0.30454993248,616,10,5,4
0.404103040695,616,10,5,5
11.0797669888,924,10,7,5
2.26139998436,396,10,3,1
0.0472609996796,88,10,1,1
13.3836698532,1144,10,9,5
183.640640974,528,10,4,1
0.237476110458,484,10,4,2
1065.32551599,1188,10,9,4
0.0837569236755,220,10,2,2
3.58671307564,1012,10,8,8
0.415718078613,352,10,3,3
3.88959813118,1248,11,9,6
0.1075091362,96,11,1,1
8.29869508743,1152,11,8,3
697.324534893,1008,11,7,2
3.38655591011,960,11,7,4
0.721256017685,816,11,6,3
5.89007496834,432,11,3,1
151.600743055,720,11,5,2
0.822422027588,672,11,5,4
0.793947935104,384,11,3,2
1.61991810799,864,11,6,6
